,Unnamed: 0,title,domain,iframe_exist,email,phone,logo
0,21,Koch Immobilien - Immobilienmakler Baesweiler | Aachen ...,www.immokoch.com,-1,-1,,-1
1,41,Ihr Immobilienmakler für Aalen - KLAUS & WIEDMANN ...,www.klaus-wiedmann.de,False,"info@klaus-wiedmann.de,info@klaus-wiedmann.de",,http://www.klaus-wiedmann.de/favicon.ico
2,58,Junior Immobilienmakler/in Jobs und Stellenangebote in Aalen,www.stepstone.de,False,,,https://www.stepstone.de/modules/duplo/resources/favicons/stepstone/apple-touch-icon-180x180.png?v=VuWeZv6r
3,60,M & S Immobilien GmbH ▷ in Aalen - Öffnungszeiten - Cylex,web2.cylex.de,-1,-1,,-1
4,61,Ihr Immobilienmakler Aalen - ProMak Immobilien,promak-immobilien.de,False,info@promak-immobilien.de,,https://promak-immobilien.de/wp-content/uploads/2022/02/cropped-pmi_favicon-270x270.png
5,72,Immobilienservice Zimmermann - Achern,www.immobilienservice-zimmermann.de,-1,-1,,-1
6,75,Ecotherm Immobilien GmbH Immobilien - Verwaltung ...,www.ecotherm-immobilien.de,-1,-1,,-1
7,76,Immobilienmakler Achern | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
8,86,VON POLL IMMOBILIEN Achern - Branchenbuch Deutschland,branchenbuch.meinestadt.de,-1,-1,,-1
9,103,Immobilienmakler Achim b. Bremen | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
10,109,"Delta Immoreal: Ihr Immobilienmakler für Bonn, Köln, Rhein, Ahr",delta-immoreal.de,False,info@delta-immoreal.de,,https://delta-immoreal.de/wp-content/uploads/2020/04/cropped-delta-favicon-png-270x270.png
11,112,Rohde Immobilien: Immobilienmakler in Kleinmachnow,www.rohdeimmobilien.de,False,"info@rohdeimmobilien.de,rohde@rohdeimmobilien.de,hagel@rohdeimmobilien.de,berg@rohdeimmobilien.de,rohde@rohdeimmobilien.de,71342info@rohdeimmobilien.de",,https://www.rohdeimmobilien.de/wp-content/uploads/2020/09/cropped-logo-300x300.png
12,131,Immobilienmakler Ahaus | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
13,135,Ihr Immobilienmakler und Immobiliengutachter in der ...,www.bookmeyer.de,-1,-1,,-1
14,139,AHA! Immobilien: Immobilienmakler Leer (Ostfriesland),ahaimmobilien.de,-1,-1,,-1
15,140,Hanseatisches Immobilienkontor Schwolle & Gienke GmbH ...,immobilienmakler-und-hausverwaltung.de,-1,-1,,-1
16,148,ECOS Immobilien: Immobilienmakler in Solingen,ecos-immobilien.de,False,"info@ecos-immobilien.de,info@ecos-immobilien.de,melekcoskun@ecos-immobilien.de,vanhofen@ecos-immobilien.de,info@ecos-immobilien.de",,https://ecos-immobilien.de/ecos2020/wp-content/uploads/2020/04/cropped-favicon-270x270.jpg
17,186,AKO Immobilien,www.akoimmobilien.de,-1,-1,,-1
18,188,Immobilienmakler Jobs und Stellenangebote in Ahlen - StepStone,www.stepstone.de,False,,,https://www.stepstone.de/modules/duplo/resources/favicons/stepstone/apple-touch-icon-180x180.png?v=VuWeZv6r
19,198,Immobilienpreise Bonn: Entwicklung des Marktes bis 2030,www.e1-holding.com,False,info@e1-holding.com,,https://www.e1-holding.com/wp-content/uploads/cropped-E1-Logo-mobil-7-270x270.png
20,201,AB Staab Immobilien – Traum-Wohnungen bei AB-Immobilien ...,www.staab.de,False,,,https://www.staab.de/wp-content/uploads/2021/05/Logo_Staab_icon_152.png
21,215,Start,www.10grad-ost-immobilien.de,-1,-1,,-1
22,225,Mortensen Immobilien | Makler in Hamburg ...,www.mortensen-immobilien.de,-1,-1,,-1
23,243,Immobilienmakler Aichach | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
24,277,Immobilien Immobilienmakler Immobilienbüro,www.baum-immobilien.de,False,"info@baum-immobilien.de,konstanz@baum-immobilien.de,stuttgart@baum-immobilien.de,freiburg@baum-immobilien.de,info@baum-immobilien.de,info@baum-immobilien.de",,https://www.baum-immobilien.de/favicomatic/apple-touch-icon.png
25,288,Immobilienmakler Stuttgart - Königskinder Immobilien GmbH,koenigskinder.de,False,"0info@koenigskinder.de,info@koenigskinder.de",,https://www.koenigskinder.de/wp-content/uploads/2018/05/apple-touch-icon.png
26,299,Immobilienmakler Alfter | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
27,310,Ingo Schwarz Immobilienmakler in Alfter 53347,branchenbuch.meinestadt.de,-1,-1,,-1
28,312,IMMOBILIEN HAHNEFELD | Ihr Immobilienmakler in Limburg,immobilien-hahnefeld.de,False,"info@immobilien-hahnefeld.de,info@immobilien-hahnefeld.de",,https://immobilien-hahnefeld.de/wp-content/uploads/iphone114.jpg
29,314,Immobilienmakler - | Dolberg Immobilien Hamburg - Ihr ...,www.dolberg-immobilien.net,-1,-1,,-1
30,320,Koch Immobilien - Immobilienmakler Baesweiler | Aachen ...,www.immokoch.com,-1,-1,,-1
31,326,Ihr Immobilienmakler und Immobiliengutachter in der ...,www.bookmeyer.de,-1,-1,,-1
32,329,Willkommen bei Ihrem Experten für Immobilien Neumünster ...,ihr-persoenlicher-makler-neumuenster.remax.de,False,,,https://ihr-persoenlicher-makler-neumuenster.remax.de/wp-content/uploads/sites/134/2020/11/cropped-remax_icon-270x270.jpg
33,334,Projekte - PB Immobilien GmbH – Immobilienmakler Wuppertal,www.pb-immo.de,False,info@pb-immo.de,,https://www.pb-immo.de/wp-content/uploads/2021/04/favicon-32x32-1.png
34,343,ALSDORFER STADTMAGAZIN,alsdorfer-stadtmagazin.de,-1,-1,,-1
35,350,Trommer Immobilien - 04600 Altenburg,www.trommobilien.de,-1,-1,,-1
36,353,Immobilienmakler Altenburg | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
37,361,Immobilienmakler Zwickau & Altenburg | Homeday,www.homeday.de,False,kontakt@homeday.de,,https://www.homeday.de/assets/images/icons/apple-touch-icon.png
38,394,Home - SKS Immobilien | Immobilienankauf Amberg,immobilienankauf-amberg.de,-1,-1,,-1
39,395,Immobilien Donhauser - Amberg,www.immobiliendonhauser.de,-1,-1,,-1
40,402,Feldbusch Immobilien GmbH: Immobilienmakler Neumarkt,feldbuschimmobilien.de,False,4info@feldbuschimmobilien.de,,https://feldbuschimmobilien.de/wp-content/uploads/2020/10/favicon_114x114.png
41,421,Jetzt Immobilien bei Immo Andernach kaufen,immo-andernach.de,-1,-1,,-1
42,424,Immobilienmakler Andernach | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
43,431,immobilien-boettcher.de,www.immobilien-boettcher.de,-1,-1,,-1
44,445,Immobilien in Ansbach & Umgebung,www.von-poll.com,False,,,https://www.von-poll.com/favicon-32x32.png
45,450,TK-Immobilienwelt: Ihre Immobilienvermittlung in Franken,www.tk-immobilienwelt.de,-1,-1,,-1
46,470,Immobilienmakler Mittelfranken u. Ostalbkreis - brenner Immo,brenner-immo.de,False,,,https://brenner-immo.de/wp-content/uploads/favicon.png
47,480,Immobilienmakler Apolda | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
48,481,Zimmermann-Consult - Home,www.zimmermannconsult.de,-1,-1,,-1
49,494,Wegner Immobilien,www.wegner.de,-1,-1,,-1
50,496,Festanstellung Jobs Apolda | 72 Stellenangebote meinestadt.de,jobs.meinestadt.de,-1,-1,,-1
51,508,Meyer & Partner: Ihr Immobilienmakler in Südwestfalen,www.meyerpartner.de,False,,,https://www.meyerpartner.de/wp-content/uploads/2020/12/cropped-mp_favicon-270x270.png
52,510,"Ihre Immobilienmakler für Immobilien in Arnsberg, Neheim ...",www.makler-vogt.de,-1,-1,,-1
53,513,Immobilien Martin & Co. in Arnsberg Neheim | Immobilien Martin,www.martin-co.de,False,"info@martin-co.de,info@martin-co.de,info@martin-co.de",,https://www.martin-co.de/apple-touch-icon.png
54,521,Feldbusch Immobilien GmbH: Immobilienmakler Neumarkt,feldbuschimmobilien.de,False,4info@feldbuschimmobilien.de,,https://feldbuschimmobilien.de/wp-content/uploads/2020/10/favicon_114x114.png
55,532,IMMOBILIEN HAHNEFELD | Ihr Immobilienmakler in Limburg,immobilien-hahnefeld.de,-1,-1,,-1
56,544,Immobilienmakler Arnstadt,immobilienbewegung.de,-1,-1,,-1
57,558,RE/MAX Immobilien Galerie: Ihr Immobilienmakler in Tübingen,immobilien-galerie-tuebingen.remax.de,True,,,https://immobilien-galerie-tuebingen.remax.de/wp-content/uploads/sites/120/2020/11/cropped-remax_icon-270x270.jpg
58,572,BERK Immobilien - Immobilien Verkaufen & Kaufen ...,www.berk-online.de,False,"aschaffenburg@berk-online.de,seligenstadt@berk-online.de,stockstadt@berk-online.de,miltenberg@berk-online.de",,https://www.berk-online.de/wp-content/themes/berk-bootstrap/img/favicons/android-icon-192x192.png
59,582,Eilbacher.de: WEG- und Mietverwaltung durch die Profis,eilbacher.de,False,"info@eilbacher.de,info@eilbacher.de",,https://eilbacher.de/wp-content/uploads/2017/06/cropped-I-270x270.png
60,584,TH AB: Masterstudiengang Immobilienmanagement studieren ...,www.th-ab.de,-1,-1,,-1
61,588,Pfeffer-Immobilien Immobilienmakler in Aschaffenburg,www.immozentral.net,-1,-1,,-1
62,598,www.citymakler-hering.de,www.citymakler-hering.de,-1,-1,,-1
63,600,Immobilienmakler Aschersleben | Makler in der Nähe finden,www.meinestadt.de,-1,-1,,-1
64,604,Immobilienmakler in Aschersleben - Cylex,web2.cylex.de,-1,-1,,-1
65,611,AKO Immobilien,www.akoimmobilien.de,-1,-1,,-1
